iter	Passed	Remaining
0	169	169330
1	185	92317
2	194	64615
3	202	50305
4	208	41447
5	214	35565
6	220	31304
7	225	27981
8	232	25637
9	238	23618
10	244	21984
11	250	20587
12	254	19288
13	260	18359
14	266	17498
15	271	16716
16	278	16077
17	281	15367
18	285	14747
19	289	14185
20	293	13665
21	297	13247
22	301	12806
23	305	12404
24	309	12069
25	313	11751
26	316	11421
27	320	11110
28	322	10808
29	327	10583
30	330	10338
31	334	10104
32	337	9880
33	340	9688
34	345	9513
35	348	9331
36	351	9157
37	355	8997
38	360	8894
39	364	8747
40	367	8607
41	373	8508
42	376	8388
43	380	8268
44	383	8146
45	387	8036
46	392	7960
47	396	7861
48	401	7799
49	407	7744
50	411	7661
51	416	7596
52	420	7515
53	425	7451
54	429	7383
55	432	7289
56	435	7210
57	440	7155
58	444	7092
59	448	7032
60	455	7010
61	461	6981
62	465	6918
63	468	6853
64	474	6826
65	478	6775
66	482	6716
67	485	6658
68	491	6633
69	495	6579
70	505	6614
71	508	6555
72	511	6501
73	514	6437
74	517	6381
75	522	6348
76	524	6290
77	527	6233
78	530	6182
79	533	6135
80	537	6096
81	540	6049
82	542	5997
83	545	5945
84	548	5900
85	553	5879
86	558	5859
87	561	5819
88	564	5776
89	567	5736
90	571	5707
91	575	5683
92	579	5652
93	583	5626
94	588	5603
95	592	5578
96	597	5563
97	602	5541
98	605	5512
99	609	5482
100	612	5448
101	615	5420
102	618	5388
103	621	5355
104	624	5327
105	627	5293
106	630	5262
107	634	5236
108	637	5208
109	640	5183
110	643	5151
111	646	5124
112	650	5106
113	654	5083
114	657	5059
115	660	5033
116	664	5017
117	668	4993
118	671	4969
119	675	4951
120	678	4925
121	682	4909
122	685	4887
123	688	4862
124	691	4839
125	694	4815
126	697	4794
127	700	4770
128	702	4746
129	705	4722
130	708	4698
131	711	4679
132	715	4666
133	719	4652
134	723	4635
135	727	4618
136	730	4603
137	734	4585
138	736	4564
139	739	4543
140	742	4523
141	746	4508
142	748	4488
143	751	4468
144	754	4449
145	757	4430
146	762	4424
147	766	4409
148	768	4391
149	771	4372
150	775	4358
151	778	4344
152	781	4328
153	784	4309
154	787	4290
155	791	4282
156	794	4265
157	797	4248
158	800	4232
159	803	4219
160	807	4209
161	811	4197
162	814	4183
163	818	4170
164	821	4157
165	825	4145
166	827	4127
167	830	4112
168	833	4100
169	837	4086
170	839	4071
171	842	4056
172	845	4042
173	848	4027
174	851	4013
175	854	3999
176	858	3989
177	860	3975
